studyYear,replicate,plotNumber,rowNumber,colNumber,Chalky seeds|LSU_01:0000107,Days to heading|LSU_01:0000130,Grain length average|LSU_01:0000102,Grain length-width ratio average|LSU_01:0000105,Grain whiteness average|LSU_01:0000106,Grain width average|LSU_01:0000103,Harvest moisture|LSU_01:0000136,Harvest weight|LSU_01:0000137,Lodging|LSU_01:0000135,Plant height|LSU_01:0000132,Plot stand near flood|LSU_01:0000133,Ratoon moisture|LSU_01:0000139,Ratoon weight|LSU_01:0000140,Ratoon yield|LSU_01:0000141,Seedling vigor|LSU_01:0000131,Total milling percentage|LSU_01:0000101,Whole milling percentage|LSU_01:0000100,Yield
2022,1,5,1,5,21.5,84,6.95,3.14,38,2.21,16,12.8,0,90,7,13.3,1.72,1129.84307,5,68.84,54.06,8146.289455
2022,2,33,6,4,12.1,86,6.74,3.01,39.8,2.24,18.6,14.3,0,101,7,13.3,0.96,630.6100855,5,67.23,60.46,8819.237213
2022,2,41,7,5,18.7,85,6.3,2.76,44.2,2.28,15.6,12.67,0,98,7,14.4,2.57,1666.776888,5,67.85,60.1,8101.951577
2022,2,43,8,6,18.3,86,6.75,3,42.9,2.25,16.3,16.51,0,93,9,13.7,1.49,974.2437891,3,66.87,55.36,10469.91397
2022,2,46,8,3,15.3,86,6.84,3.11,40.1,2.2,14.7,16.1,0,97,7,14.1,2.11,1373.239227,3,68.57,56.38,10405.08156
2022,2,37,7,1,22.6,85,6.85,2.88,41.1,2.38,15,13.81,0,94,7,18.8,1.8,1107.386223,3,67.49,55.81,8893.714543
2022,2,47,8,2,23.7,84,6.84,2.92,41.5,2.34,14.4,14.02,0,94,9,13.5,1.39,910.9645764,3,67.4,57.88,9092.689481
2022,2,45,8,4,12.1,86,6.06,2.21,38.9,2.74,15.7,12.31,0,83,7,12.8,1.82,1202.426266,3,71.19,68.33,7862.419452
2022,2,35,6,2,21,92,5.85,2.17,41.3,2.69,25,13.82,0,89,7,14.6,1.56,1009.376178,5,63.36,60.18,7853.077585
2022,2,36,6,1,9.8,86,6.05,2.24,37.2,2.7,15.3,12.23,0,79,7,14.5,2.09,1353.888759,3,69.8,65.27,7848.387711
2022,2,28,5,4,17.9,90,6.87,2.94,40.4,2.34,18.6,14.59,0,95,9,14.8,1.26,813.3560877,3,64.91,53.45,8998.088876
2022,2,26,5,2,18.7,80,6.92,2.93,38.3,2.36,15.4,14.78,0,86,9,13.5,1.88,1232.095974,3,67.3,57.56,9473.607309
2022,2,38,7,2,8.9,88,6.9,3.01,40.3,2.29,15.1,13.89,0,94,9,14.3,1.17,759.6914968,3,69.31,58.98,8934.711169
2022,2,48,8,1,12.3,85,6.21,2.6,42,2.39,14.7,12.97,0,94,9,13,0.41,270.254971,3,62.59,51.82,8382.230303
2022,2,32,6,5,12.4,90,6.53,2.71,39.4,2.41,18.4,17.62,0,118,7,15.2,2.7,1734.723245,7,66.41,61.2,10893.4801
2022,2,39,7,3,10.1,85,7.02,3.15,39.9,2.23,12.2,10.53,0,92,9,14.2,3.27,2125.717864,3,68.27,52.65,7004.763369
2022,2,27,5,3,19.2,83,6.75,3,38.8,2.25,16.7,14.69,0,92,9,13.3,1.61,1057.585664,3,67.8,60.35,9271.230507
2022,2,42,7,6,9.9,83,6.98,3.22,34.2,2.17,16,13.82,0,92,7,13,1.7,1120.569392,5,68.57,59.71,8795.446895
2022,2,31,6,6,21.7,83,6.82,3.04,39.4,2.24,19.6,15.28,0,90,7,13.3,1.65,1083.861084,5,66.94,57.22,9307.863049
2022,2,34,6,3,20.6,86,6.45,2.88,40.8,2.24,14.3,14.52,0,86,9,14.1,1.72,1119.417759,5,67.71,60.79,9427.966268
2022,2,29,5,5,18.8,85,5.91,2.17,39.9,2.72,20.1,14.35,0,91,7,14.4,1.11,719.8919632,5,66.22,62.59,8686.98881
2022,2,30,5,6,16.2,86,6.05,2.22,38,2.73,19.6,12.71,0,91,7,13.9,1.92,1252.492004,5,67.37,64.81,7742.338963
2022,2,40,7,4,20,86,6.75,2.93,38.6,2.3,17.2,14.81,0,94,7,14,1.4,912.2147045,3,68.37,61.09,9290.861307
2022,2,25,5,1,14.2,85,6.75,2.95,43.8,2.29,14.5,11.97,0,88,9,16.4,2.66,1684.839345,3,66.17,52.67,7754.090167
2022,2,44,8,5,24.1,82,6.84,3.08,39.1,2.22,16.2,13.48,0,95,7,12.6,1.95,1291.268705,5,69.15,53.23,8558.634746
2022,1,15,1,15,16.3,82,6.77,3.05,37.2,2.22,16.2,13.94,0,93,7,14.4,1.79,1160.90686,5,70.37,65.19,8850.694982
2022,1,16,1,16,17.8,85,6.34,2.83,39.4,2.24,16.7,11.14,0,94,5,12.5,3.02,2002.099134,7,69.08,63.26,7030.735728
2022,1,21,1,21,21.7,85,6.63,3.04,40.4,2.18,16.8,15.96,0,91,7,15.5,1.56,998.7387239,3,69.42,59.8,10060.66748
2022,1,3,1,3,15.9,83,6.92,3.08,40.1,2.25,17.3,16.71,0,93,7,17.1,2.34,1469.741542,5,67.74,58.7,10470.14126
2022,1,24,1,24,25.2,83,6.89,2.93,37.6,2.35,15.5,13.95,0,87,7,13.8,2.19,1430.282953,3,70.05,62.55,8931.028973
2022,1,9,1,9,24.6,82,6.94,2.98,38.9,2.33,16.1,15.12,0,95,7,13.8,1.62,1058.017527,5,70.16,63.8,9611.348699
2022,1,6,1,6,19.4,82,6.05,2.2,35.2,2.75,17,12.67,0,81,7,14.6,1.66,1074.079779,3,71.12,66.98,7967.559015
2022,1,4,1,4,17.8,87,5.92,2.2,36.1,2.69,23.3,14.79,0,88,9,17,1.77,1113.068623,5,64.94,61.69,8594.767237
2022,1,2,1,2,15,82,6.05,2.2,34,2.75,17.2,16.04,0,75,7,12.8,1.39,918.3365441,5,71.73,68.88,10062.48584
2022,1,18,1,18,18.7,84,5.84,2.2,36.5,2.66,19.7,11.87,0,79,7,13,1.64,1081.019884,5,68.46,65.59,7221.656811
2022,1,12,1,12,22.7,79,6.97,3,35.5,2.32,15.9,14.74,0,94,7,13.4,2.56,1679.687302,5,70.18,64.28,9392.129261
2022,1,1,1,1,11.2,82,6.88,3.04,38,2.26,15.9,14.68,0,90,9,17.5,1.84,1150.117875,5,71.96,66.49,9353.89807
2022,1,10,1,10,17.4,83,6.2,2.63,39.3,2.36,18.2,13.46,0,96,9,15.9,0.63,401.4275057,5,67.14,58.37,8341.976177
2022,1,7,1,7,12,87,6.39,2.66,38.8,2.4,20,18.64,0,115,5,12.5,2.81,1862.88032,7,68.78,64.97,11298.12764
2022,1,11,1,11,12.7,82,7.14,3.2,39.3,2.23,13.8,10.37,0,93,7,13.5,3.4,2228.258676,3,68.94,60.22,6772.618365
2022,1,20,1,20,24.9,82,6.83,3.09,34.9,2.21,16.8,13.21,0,91,7,14,1.81,1179.363297,5,69.65,62.96,8327.156476
2022,1,17,1,17,25.4,83,6.8,2.93,40.4,2.32,15.9,13.3,0,94,7,18.9,1.92,1179.757276,5,70.07,62.74,8474.580677
2022,1,22,1,22,25.4,82,6.89,3.19,35.5,2.16,16.7,12.93,0,88,7,12.2,2.01,1337.091583,3,68.42,61.05,8160.449997
2022,1,5,1,5,22.5,83,6.47,2.93,40.8,2.21,16.9,15.28,0,91,7,15.5,2.53,1619.749341,5,68.7,63.2,9620.44054
2022,1,13,1,13,21.2,82,5.88,2.19,38.3,2.69,17.9,12.51,0,85,7,13.6,1.9,1243.763836,5,68.1,64.94,7781.638445
2022,1,19,1,19,17.8,83,5.96,2.21,39.3,2.7,18.6,11.06,0,77,7,11.4,1.77,1188.167229,5,67.52,65.41,6821.032418
2022,1,8,1,8,23.3,83,6.92,3.06,37.2,2.26,17.1,14.38,0,101,7,15.7,1.84,1175.211356,5,69.87,64.39,9032.001443
2022,1,14,1,14,18.9,83,6.76,2.95,39.4,2.29,16.5,14.59,0,87,7,14.8,3.88,2504.620334,5,68.83,59,9230.226304
2022,1,23,1,23,21.3,82,6.82,3.11,38.6,2.19,14.2,11.32,0,85,7,10.6,1.57,1063.427172,5,70.78,61.2,7358.754195
2022,2,45,2,4,18,83,6.73,2.95,35.2,2.28,18.7,14.11,0,95,7,17.3,1.82,1140.374452,3,68.54,63.21,8691.368047
2022,2,46,2,3,20.4,82,6.43,2.82,39.3,2.28,17.1,15.06,0,96,7,13.8,3.46,2259.716446,5,69.81,63.69,9459.105823
2022,2,32,2,17,20.4,85,6.92,3.13,38.6,2.21,17.2,15.18,0,100,7,17.2,2.65,1662.44311,5,69.27,61.2,9522.976005
2022,2,31,2,18,22.5,85,6.67,3.05,40.1,2.19,17.3,16.85,0,96,9,19.8,1.85,1124.130363,3,68.54,58.8,10557.86237
2022,2,36,2,13,25.2,83,7.01,2.96,37.2,2.37,17.5,14.8,0,89,7,15.7,2.16,1379.59594,5,70.32,64.76,9250.948125
2022,2,30,2,19,23.2,82,6.93,2.96,37,2.34,15.1,13.83,0,95,9,12.8,1.77,1169.392578,3,69.86,63.16,8896.116304
2022,2,47,2,2,19,81,6,2.18,36.1,2.75,16.4,10.53,0,80,7,13.9,1.59,1037.219941,3,70.57,66.28,6669.683573
2022,2,26,2,23,20.5,87,5.91,2.22,36.5,2.66,21.5,13.21,0,95,7,12.4,1.83,1214.579027,5,64.46,61.65,7856.752204
2022,2,38,2,11,13.2,84,5.97,2.21,35.2,2.7,16.2,9.77,0,76,5,11.1,1.45,976.653127,3,72.08,68.65,6203.10545
2022,2,39,2,10,18.4,84,6.85,2.98,40.4,2.3,16.8,14,0,99,7,18.4,2.02,1248.855267,3,68.54,59.44,8825.146909
2022,2,29,2,20,22.6,77,6.98,3.01,36.7,2.32,15.2,14.84,0,94,9,14.1,2.61,1698.651367,3,69.34,62.84,9534.552949
2022,2,35,2,14,11.3,84,6.85,3.02,39.1,2.27,16,14.61,0,95,9,17.5,1.34,837.5858438,5,71.38,65.27,9298.225698
2022,2,40,2,9,17.3,83,6.19,2.63,38.8,2.35,16.9,13.68,0,96,9,16.7,0.97,612.1915311,5,66.25,56.47,8613.064567
2022,2,43,2,6,13,87,6.43,2.71,38.8,2.37,19.8,18.56,0,118,7,12.3,3.37,2239.237074,7,68.61,64.32,11277.76191
2022,2,27,2,22,9.8,83,7.21,3.29,38.9,2.19,12.7,10.24,0,91,9,11.7,3.73,2495.399692,3,68.78,59.57,6773.057804
2022,2,28,2,21,25.8,82,6.9,3.12,34.5,2.21,16.1,14.4,0,93,7,13,2.04,1344.68327,3,68.97,62.46,9153.665427
2022,2,48,2,1,10.7,79,7.04,3.23,30.4,2.18,15.3,13.75,0,95,7,13,2.78,1832.460535,3,70.11,64.26,8823.821016
2022,2,25,2,24,26.6,81,6.86,3.13,37,2.19,16.7,14.69,0,90,7,11.8,2.17,1450.103166,3,68.42,60.76,9271.230507
2022,2,41,2,8,21.4,83,6.46,2.96,40.1,2.18,15.7,14.23,0,90,7,15,2.11,1358.851389,3,70.18,64.54,9088.726954
2022,2,33,2,16,23.8,83,6.89,3.19,38.6,2.16,15.3,12.44,0,92,5,13.3,1.56,1024.741389,5,70.97,62.82,7983.151523
2022,2,42,2,7,18.7,82,6.01,2.23,36.9,2.69,20.1,13.91,0,82,7,12,2.29,1526.82315,3,68.11,65.81,8420.628177
2022,2,34,2,15,26.6,84,6.88,3.06,37.5,2.25,16.5,14.01,0,100,7,15.5,1.7,1088.369122,3,70.15,64.85,8863.294758
2022,2,44,2,5,22.9,82,6.78,2.94,38.9,2.31,17.4,15.32,0,94,7,14.8,3.81,2459.433884,3,67.97,59.35,9587.588688
2022,2,37,2,12,22.6,81,6.89,3.2,38,2.15,14.7,12.16,0,90,7,12.5,1.82,1206.563054,5,71.83,63.22,7858.744833
2022,1,11,2,2,12.3,91,6.98,3.16,40.1,2.21,18.2,8.49,0,89,5,17,2.79,1754.497999,5,67.63,58.86,5261.766549
2022,1,3,1,3,7.2,82,6.79,2.98,40.6,2.28,15.5,10.78,0,94,7,16.1,2.63,1671.815283,,68.12,60.59,6901.540669
2022,1,7,2,6,13.9,81,6.83,2.88,42.3,2.37,10.7,9.94,0,84,9,14.7,2.44,1576.919193,3,68.16,51.55,6725.249874
2022,1,4,1,4,3.3,87,6.96,2.94,39.8,2.37,13.1,8.01,0,81,7,15.5,2.5,1600.542827,5,67.11,56.96,5273.790508
2022,1,2,1,2,18.7,92,7.09,3.15,39.3,2.25,16.9,7.67,0,88,5,16.5,2.7,1708.129611,5,66.45,56.93,4829.108569
2022,1,5,1,5,20.2,85,6.59,2.92,39.9,2.26,16.9,10.9,0,92,7,18,2.06,1279.828139,3,67.81,58.96,6862.748814
2022,1,12,2,1,14.4,89,7.25,3.1,41.5,2.34,15,11.4,0,88,7,16.7,3.14,1981.73341,5,65.18,47.7,7341.661534
2022,1,9,2,4,8.8,85,6.48,2.72,38.3,2.38,14.2,11.44,0,97,,18.3,3.6,2228.410207,5,70.39,65.6,7436.76219
2022,1,6,1,6,18.5,83,6.86,2.94,39.6,2.33,13.9,10.71,0,93,7,17,2.35,1477.802974,3,69.35,56.11,6986.556958
2022,1,8,2,5,5.3,90,7.05,3.15,38.6,2.24,17.9,11.19,0,99,7,17.4,3.5,2190.376006,5,68.58,56.73,6960.554293
2022,1,1,1,1,6.9,85,6.97,3.06,40.1,2.28,13.8,10.13,0,87,5,16.6,3.44,2173.677325,5,70.46,57.76,6615.875027
2022,1,10,2,3,11.3,85,6.97,3.21,39.1,2.17,13.6,11.66,0,95,7,16.6,1.72,1086.838662,3,68.97,57.15,7632.78228
2022,2,23,4,2,9.5,89,6.88,3.1,41.5,2.22,16.5,9.87,0,98,7,17.8,3.37,2098.806015,5,68.64,60.79,6244.162688
2022,2,17,3,5,7.2,83,6.83,3,40.4,2.28,16,12.97,0,97,9,16.4,2.83,1792.517048,5,69.31,62.25,8254.482361
2022,2,16,3,4,20.2,81,6.83,2.86,40.9,2.39,11,10.57,0,85,9,16,2.88,1832.915127,3,68.23,50.24,7127.472915
2022,2,19,4,6,3.7,87,7.06,2.98,41.5,2.37,13.9,11.7,0,95,,16.2,2.86,1815.852773,5,68.92,58.86,7632.373147
2022,2,14,3,2,14.9,93,7.09,3.15,38.6,2.25,17.3,10.32,0,94,7,17.8,3.04,1893.284951,5,66.91,59.56,6466.299091
2022,2,18,3,6,22.6,84,6.6,2.93,37.6,2.25,15.5,13.31,0,94,9,19.6,2.24,1364.503484,3,70.79,63.07,8521.290009
2022,2,13,3,1,13.9,89,7.27,3.15,43.2,2.31,14.8,12.37,0,100,7,17.6,3.18,1985.294381,5,65.25,48.55,7985.091115
2022,2,21,4,4,9.6,83,6.43,2.69,40.4,2.39,20.5,12.23,0,104,9,17.3,4.1,2568.975414,3,69.52,63.46,7366.550449
2022,2,24,4,1,16.6,84,6.87,2.95,39.8,2.33,14.3,12.87,0,101,7,16.1,3.04,1932.440479,3,68.13,55.85,8356.606464
2022,2,22,4,3,5.7,89,6.99,3.15,39.3,2.22,16.3,12.64,0,101,9,17.8,3.69,2298.099167,3,69.57,59.64,8015.730619
2022,2,15,3,3,6,85,7.04,3.09,40.1,2.28,14.7,10.23,0,98,9,16.2,3.32,2107.913009,5,69.66,59.16,6611.427602
2022,2,20,4,5,12.3,84,7.04,3.2,38.8,2.2,14.9,13.48,0,94,9,17.8,1.89,1177.075183,3,69.68,58.39,8691.405929
2023,1,5,2,2,18.3,95,6.55,2.85,43.2,2.3,10.4,13.34,0,96,7,13.2,6.65,4373.387477,3,72.05,57.73,9056.083658
2023,1,12,4,1,11.9,101,6.86,3.21,39.4,2.14,17,14.12,0,94,5,21.3,2.21,1317.782065,3,69.21,61.64,8879.517667
2023,1,22,8,3,21.4,101,6.52,2.83,43,2.3,16.6,15.68,0,109,7,22.1,4.89,2886.176614,9,68.5,52.86,9908.061544
2023,1,2,1,2,26.4,96,6.49,2.82,45.4,2.3,13.2,13.77,0,92,9,13.9,5.52,3600.964299,1,70.36,57.78,9055.871512
2023,1,10,4,3,29.5,96,6.47,2.9,48.8,2.23,11.6,13.17,0,95,7,20.7,4.76,2859.938713,3,69.4,51.58,8820.935095
2023,1,23,8,2,17.4,97,7.05,3.23,33.6,2.18,12.9,13.59,0,90,7,18.5,4.57,2821.957023,3,70.32,62.47,8968.384064
2023,1,6,2,1,20.6,102,6.71,3.34,42.1,2.01,18.8,12.71,0,101,3,13,4.92,3243.104493,3,70.48,60.99,7819.485278
2023,1,19,7,1,27.2,96,6.54,2.86,45.4,2.29,13.7,14.88,0,96,7,16.2,5.41,3434.929836,1,70.1,57.94,9729.495319
2023,1,8,3,2,17.9,98,5.93,2.27,39.2,2.61,11.8,15.04,0,95,7,16.9,3.64,2291.812026,3,70.9,61.39,10050.62358
2023,1,24,8,1,21.8,98,6.04,2.29,43.2,2.64,14.1,17.29,0,97,7,15.4,5.8,3717.705151,3,70.42,61.61,11252.90736
